FORPRINT: Mon Feb  3 16:23:31 2014
       16613.429      -83.037052
       16613.439      -82.912111
       16613.449      -82.786144
       16613.459      -82.659154
       16613.469      -82.531170
       16613.479      -82.402120
       16613.489      -82.272106
       16613.499      -82.141032
       16613.509      -82.009000
       16613.519      -81.875940
       16613.529      -81.741878
       16613.539      -81.606818
       16613.549      -81.470763
       16613.559      -81.333743
       16613.569      -81.195681
       16613.579      -81.056686
       16613.589      -80.916682
       16613.599      -80.775699
       16613.609      -80.633740
       16613.619      -80.490807
       16613.629      -80.346932
       16613.639      -80.202034
       16613.649      -80.056229
       16613.659      -79.909407
       16613.669      -79.761684
       16613.679      -79.612979
       16613.689      -79.463323
       16613.699      -79.312718
       16613.709      -79.161170
       16613.719      -79.008709
       16613.729      -78.855252
       16613.739      -78.700918
       16613.749      -78.545594
       16613.759      -78.389401
       16613.769      -78.232253
       16613.779      -78.074183
       16613.789      -77.915195
       16613.799      -77.755291
       16613.809      -77.594506
       16613.819      -77.432750
       16613.829      -77.270151
       16613.839      -77.106619
       16613.849      -76.942187
       16613.859      -76.776861
       16613.869      -76.610642
       16613.879      -76.443565
       16613.889      -76.275540
       16613.899      -76.106696
       16613.909      -75.936909
       16613.919      -75.766311
       16613.929      -75.594808
       16613.939      -75.422437
       16613.949      -75.249200
       16613.959      -75.075100
       16613.969      -74.900176
       16613.979      -74.724329
       16613.989      -74.547697
       16613.999      -74.370149
       16614.009      -74.191823
       16614.019      -74.012622
       16614.029      -73.832583
       16614.039      -73.651708
       16614.049      -73.470002
       16614.059      -73.287502
       16614.069      -73.104108
       16614.079      -72.919962
       16614.089      -72.734964
       16614.099      -72.549151
       16614.109      -72.362527
       16614.119      -72.175095
       16614.129      -71.986896
       16614.139      -71.797823
       16614.149      -71.608026
       16614.159      -71.417362
       16614.169      -71.225981
       16614.179      -71.033777
       16614.189      -70.840789
       16614.199      -70.647022
       16614.209      -70.452478
       16614.219      -70.257199
       16614.229      -70.061075
       16614.239      -69.864261
       16614.249      -69.666609
       16614.259      -69.468274
       16614.269      -69.269145
       16614.279      -69.069265
       16614.289      -68.868637
       16614.299      -68.667263
       16614.309      -68.465187
       16614.319      -68.262296
       16614.329      -68.058749
       16614.339      -67.854432
       16614.349      -67.649388
       16614.359      -67.443620
       16614.369      -67.237132
       16614.379      -67.029967
       16614.389      -66.822011
       16614.399      -66.613424
       16614.409      -66.404052
       16614.419      -66.194057
       16614.429      -65.983324
       16614.439      -65.771896
       16614.449      -65.559776
       16614.459      -65.346969
       16614.469      -65.133517
       16614.479      -64.919304
       16614.489      -64.704495
       16614.499      -64.488930
       16614.509      -64.272778
       16614.519      -64.055918
       16614.529      -63.838395
       16614.539      -63.620213
       16614.549      -63.401375
       16614.559      -63.181928
       16614.569      -62.961748
       16614.579      -62.741007
       16614.589      -62.519583
       16614.599      -62.297522
       16614.609      -62.074827
       16614.619      -61.851501
       16614.629      -61.627591
